	c10	c10	c10	c20	c20	c20	c30	c30	c30	c40	c40	c40	c50	c50	c50	c90	c90	c90
eco_gcs1_t07874	4318.374612	3464.750066	5061.186628	3413.442643	3769.754925	4723.805403	3149.862083	5026.736779	5407.653877	3058.655337	4625.443779	4481.382629	2784.933656	6406.422967	5317.978885	1836.651574	5219.95053	6189.31663
eco_gcs1_t00068	104.8040191	63.33252605	163.7403579	90.41563049	65.74056409	140.7323996	75.23384128	133.0886665	117.830403	55.08507973	115.4822067	69.99011499	66.33648259	130.9115132	103.7623621	34.26299678	102.0101646	103.2613147
eco_gcs1_t06064	13.61453149	27.55115231	20.00127244	13.58887204	24.91822031	14.61631321	14.90083426	13.23519266	14.649955	19.00100416	10.22297525	18.33212098	17.30977209	14.07814603	15.96809329	19.40726216	11.91052846	10.94652354
eco_gcs1_t01439	69.13280469	20.49614928	54.7328629	40.49951494	15.55330152	56.53103508	28.62294566	42.19405073	74.28645313	20.67326684	28.87621889	93.07889426	20.04493656	23.23707828	80.49248456	20.96453957	24.40699246	13.73603658
eco_gcs1_t02205	504.3193006	713.4077905	615.8128212	519.7329935	772.4933066	604.4716377	740.8610711	667.0596832	661.840066	571.4480055	615.4715644	524.0470257	555.7603542	670.4424611	595.9596708	471.4707092	686.226894	649.1593084
eco_gcs1_t08250	4.663689192	14.91052398	6.595932698	4.654980472	16.88099946	6.502298157	13.0452235	3.730309922	5.275688125	10.84645715	5.625011446	7.387075494	17.38145132	3.93617323	9.58395487	21.62467741	20.01673919	14.05769908
eco_gcs1_t05269	120.1606917	36.67161696	62.81589324	84.82483971	38.18441935	68.02784241	75.05722559	79.47319323	51.60662791	86.4061592	57.43491938	51.79100441	80.42926341	47.81465433	91.40077956	52.55504712	52.14424041	48.60819778
eco_gcs1_t09105	29.73813408	13.52763595	19.02350035	22.79767837	11.57057121	10.16411917	22.49652733	17.51178649	19.34570753	16.7726634	22.08945826	31.60378757	18.75018695	13.34133979	21.61978987	33.56396235	24.02961571	9.539524007
eco_gcs1_t05494	686.371332	1353.230676	1125.185254	947.019459	1291.192812	1154.993795	1602.500648	953.9072767	1179.792713	1195.544992	1101.634208	795.0406248	1181.531338	1174.680046	1025.34673	756.2009675	1104.055311	1302.711759
eco_gcs1_t08492	2.676699192	3.500909766	2.804159053	9.019865189	6.788826647	4.291657377	4.42559588	3.375793673	3.382734356	3.774489639	11.20508566	3.823057815	4.573398637	3.39832774	3.662523184	5.1856266	11.52771278	8.751935019
eco_gcs1_t04416	97.56689657	119.281692	89.7017377	107.1652755	128.3386702	87.42771677	125.8667516	93.41359718	90.93245559	110.1777139	94.60881732	79.95403812	115.7679104	102.8213255	94.91437598	90.98532197	97.15466116	59.28337324
eco_gcs1_t09837	14.71520055	22.59854256	15.37113148	11.69342394	14.34975475	15.68801392	12.92627816	16.10363735	17.80136445	19.52806921	16.20347136	15.88805379	13.0768272	13.89203315	14.57947352	11.54265329	10.56587098	9.154185669
eco_gcs1_t03178	9.80684763	4.392578586	7.899399927	6.964793547	3.228741575	5.250554365	3.173417318	8.377341665	3.624193409	5.008096988	7.558149325	1.620307898	3.266626101	4.817586763	8.975704983	4.188358357	7.529585697	10.86694398
eco_gcs1_t02820	14.49521736	12.94578398	14.68476181	12.36142487	14.02727971	13.11184877	13.34130952	15.5281537	7.247693625	13.3720348	11.89317754	11.44201336	13.06239959	7.436331005	6.009707249	9.77764237	11.88034444	13.12608768
eco_gcs1_t00401	179.0006552	301.6463887	246.6282462	200.048834	323.8899704	252.9173799	296.9701183	240.0868831	250.5153703	262.8008086	211.7637267	183.5643963	298.3505586	233.7303359	242.9159869	199.1056051	246.9079172	255.1713566
eco_gcs1_t02703	989.9853192	1418.475742	916.6751434	1089.398268	1733.427041	773.2391226	1378.834034	774.6306616	832.3769093	1151.570024	774.5058865	632.1988203	1339.603253	849.8717755	1375.492987	795.4859461	750.5727051	1294.956999
eco_gcs1_t07961	62.53536916	39.8652154	63.06015391	60.64367669	27.05904897	60.59746492	39.61725956	54.31816824	69.6746458	46.87574702	52.53785923	108.2653615	50.17051918	52.36296142	99.95592061	57.70897174	56.07721269	149.4254583
eco_gcs1_t08735	27750.52779	81800.3898	29967.3042	51852.34158	84872.16579	31429.90535	81347.18933	22158.63787	31346.81974	62173.0946	33040.28431	20908.66898	83831.05029	28369.07007	26970.06597	54118.62868	25996.02788	27970.32853
eco_gcs1_t11985	8.82016605	17.02559492	12.7812531	7.085316938	7.440181679	4.231512582	4.936482385	9.548048766	6.969910525	14.42365044	7.005440867	24.90154818	7.754523202	5.80506335	7.270551536	27.3489492	7.331401529	10.29791333
eco_gcs1_t05644	2519.483464	7239.70316	3938.890615	3423.537635	8121.081904	3653.378705	5706.558835	3420.49166	3856.182471	3972.948767	3546.675187	2658.280437	5524.092961	4066.354718	3280.860942	3587.253991	3955.6029	3569.466549
eco_gcs1_t08485	371.1339795	598.1947988	371.6919653	458.7664139	570.684696	386.2211456	590.0603962	341.8437899	366.4256651	501.4841445	322.5279795	291.0719565	612.5920057	346.7283179	364.0977882	447.0080222	309.8777995	376.9210268
eco_gcs1_t11535	34.46618933	40.79595289	32.15507915	31.47845281	30.56269652	26.21413622	23.71402944	33.66934645	32.83916435	34.19401738	27.56767827	60.23205795	25.32674087	28.54678986	23.34957532	54.41951761	29.0331064	11.55392856
eco_gcs1_t04731	2.875404489	3.395681395	3.667610216	4.523312017	3.05474153	4.287995636	3.154617721	4.316576454	5.415453299	4.594105173	5.026237299	7.514787852	2.901270028	4.646037939	4.146334143	8.000861932	3.634216511	9.381516704
eco_gcs1_t11736	213.06912	332.0440185	426.7771222	355.4272435	344.9068212	214.700534	241.7141685	222.441151	263.8074047	175.153955	151.1356054	160.9083473	109.4793242	422.6865551	353.3786456	97.49059378	255.2778879	421.1606674
eco_gcs1_t02974	2.755222037	2.51867091	3.097593427	2.532091232	4.7316023	3.892291602	3.196206669	3.366272193	3.503572442	4.44910377	2.712988576	1.235750562	4.108007578	3.48849509	4.149904631	0.662299019	15.63714989	10.60911584
eco_gcs1_t04596	37785.51326	63589.72203	49699.26293	41820.92691	63463.46955	41015.44074	59836.0814	47167.80518	42755.66939	50152.7786	36315.57304	33437.67538	55404.94097	48966.84912	46269.22804	37736.27364	43144.22854	43320.31715
eco_gcs1_t01218	7.778788772	7.954720255	7.3680273	7.482126774	10.59208242	5.368264064	5.802794759	7.630071437	5.337973606	8.423363165	8.981745385	15.71482601	6.528388776	3.761227601	9.250342076	14.02819989	8.406028787	14.61742103
eco_gcs1_t05687	2.689418189	2.907623144	2.206332822	2.402127796	2.761649441	3.434408749	3.025883049	3.02976964	3.219149736	3.038633032	2.816001274	2.861936871	2.44357788	3.030360088	3.473378285	2.517566134	2.220343495	8.937762663
eco_gcs1_t11611	268.3066603	431.2154377	415.2316297	317.9557497	438.0040878	330.9961927	462.7241491	296.6101268	367.6077923	296.9696643	333.9598234	296.8022109	357.9559531	430.445411	410.612046	272.9219267	340.2196833	392.9624527
eco_gcs1_t09204	4.346332491	2.31490996	2.774095707	8.495488767	2.946152679	3.684821279	12.85203862	3.149030978	3.3372478	25.68587603	2.769291301	1.194247198	35.8288056	3.402094862	3.824209707	33.59136186	2.326019767	14.12559463
eco_gcs1_t03692	70.86326436	71.01412388	68.86890586	58.02228412	76.54072451	70.06091414	67.47724537	83.69260847	76.82134872	61.926757	91.08156372	64.27757023	65.30327499	78.04850209	60.29078726	57.77400752	67.6049651	43.01198329
eco_gcs1_t09968	2811.690113	3570.581856	2985.333917	2447.199322	4607.284929	3587.575136	3340.139606	2768.579435	3260.175247	2721.340046	2638.085593	2247.621315	3007.434479	3290.532419	3347.218193	1934.70923	2840.829752	3819.414063
eco_gcs1_t06092	42.23412904	31.45524157	25.37079377	46.16861116	36.38318664	21.14842276	46.86186952	31.29696118	24.57220771	52.41221905	42.58160039	31.03397965	66.31727679	46.65437768	34.34892416	124.4736288	81.25795428	63.59138923
eco_gcs1_t06575	626.9720518	668.2580894	690.9129315	584.6616678	662.7661967	647.9626199	612.5986853	684.0639797	653.0113569	537.5244197	716.3599452	502.1702765	524.838109	728.9285427	726.259627	420.9129241	596.3552874	722.9576158
eco_gcs1_t03358	2055.818997	2406.637731	1966.988665	1962.042824	3031.805709	2549.997641	2347.280526	2267.935917	2602.445867	2188.429325	2309.321374	1827.548667	2343.013835	2525.51006	1814.640703	1424.478287	2072.970797	2340.761739
eco_gcs1_t04562	3486.94505	3721.888234	3776.194569	3296.926788	4204.454349	4639.908401	3590.575634	4379.31798	4402.623312	3907.041659	3637.507721	3595.990542	4807.937919	4728.860857	4838.586856	2998.329679	5217.084028	7362.232192
eco_gcs1_t07908	429.3599139	311.785497	415.2424277	359.4932725	293.7798491	371.8951645	365.5989937	400.4944914	403.5719732	348.1214668	351.7243521	367.5445891	324.7854843	310.3875538	432.238197	365.695748	270.2639716	325.7676445
eco_gcs1_t00584	289.2943681	327.5795372	267.2170084	281.3285265	355.7792512	275.4200077	318.8726403	290.182026	266.8541736	318.5021887	296.2850274	217.7650573	344.5272872	303.6771933	240.5096529	221.588154	302.060956	284.4038709
eco_gcs1_t01988	27.2045786	17.3088087	26.51288789	32.91059776	22.33585956	44.44952469	27.16634015	28.75509332	28.58136238	18.61971184	35.53053526	25.88773979	25.24028074	40.17031663	32.51166657	24.72654451	35.31828017	16.96760358
eco_gcs1_t07299	2919.790205	6523.511805	3953.828257	3749.993504	7326.768552	3475.237324	5323.661338	3314.466648	3663.724649	4334.503211	3763.010104	2634.585923	4902.996387	4339.086994	3823.807821	3012.471917	3437.000127	4508.37406
eco_gcs1_t02274	2205.882821	2073.286322	2061.043163	2297.576713	2043.839807	2008.256071	2626.791757	1842.881534	1932.606552	1985.028441	1793.168364	1572.199138	2528.451338	1898.929295	2245.920415	2216.057943	1512.289677	2074.058076
eco_gcs1_t11196	27.5979501	39.49828698	38.38785518	29.07771869	62.85891067	30.32551915	30.21459244	44.81969066	44.70125634	54.0305997	46.03980769	29.23647972	24.16180471	41.19275565	17.18284618	26.68441081	39.95879672	10.53098025
