	t10	t10	t10	t20	t20	t20	t30	t30	t30	t40	t40	t40	t90	t90	t90
eco_gcs1_t02398	369.7558098	200.1375232	180.5783279	358.3867601	338.9444023	384.9742697	248.3660659	228.6470621	963.2532491	662.9426403	434.9917746	214.2946569	607.4165087	375.9448521	328.6784212
eco_gcs1_t01498	7533.497018	1247.897404	393.0385471	1709.907262	1194.527051	1093.287024	614.4274274	209.8204276	1148.143962	418.9194549	203.4664984	160.3903605	254.8318016	262.0159972	230.6495713
eco_gcs1_t08320	63.68346144	174.949842	250.449974	67.40998078	108.8352608	48.81503753	106.6350142	247.4737464	19.14136452	64.76417174	250.1579343	255.6790992	51.94817733	149.6195997	123.9922717
eco_gcs1_t07874	3052.527146	1149.252608	692.4630994	5371.640678	3075.561573	3991.097757	2947.196019	652.1695568	3737.50262	3521.247198	836.8684512	1104.3379	4999.835743	2097.937213	3406.120771
eco_gcs1_t00068	36.24628112	19.27669928	10.27821786	27.48652095	10.72846598	40.8171874	22.8901154	6.564934365	104.1945755	58.55773901	10.1442189	19.71906358	234.8017669	91.06798014	52.31086614
eco_gcs1_t06064	81.839825	200.2753128	268.2519914	79.33917683	141.1005393	55.39470294	98.19330896	271.7376462	30.77762803	81.17031436	244.5060092	235.9497021	54.97386605	149.8414442	130.8210756
eco_gcs1_t01439	120.8402719	10.5405636	65.6441924	1204.258106	806.9760612	859.4774336	1213.848172	119.3589006	874.4853862	650.2256171	69.67465327	57.83695446	48.47539939	18.66297055	12.31362275
eco_gcs1_t02205	842.0743525	467.0023305	279.1936359	574.977821	321.3765496	935.3356027	855.8296289	342.6830104	1427.236639	1084.524837	406.0538194	363.2071189	1198.53711	757.5835168	795.5137154
eco_gcs1_t08250	21.99615863	70.31066639	94.10116588	18.99479791	79.70611173	37.44070594	47.77814596	109.2579222	81.7502262	32.04027065	91.99862159	151.6765172	32.23727697	103.9651074	105.9626791
eco_gcs1_t05269	193.0899227	8.895559923	25.98199638	752.3635429	232.9659095	486.626829	494.0699515	26.47764335	800.2187857	716.0423117	28.69428477	12.11480523	218.9910701	36.54106357	34.20822329
eco_gcs1_t09105	113.065994	244.5112279	323.8881599	94.92462258	232.5338621	149.8974397	227.5334317	277.1781621	161.4118092	100.260081	360.2560524	356.3792591	78.07670431	138.7846246	204.684421
eco_gcs1_t05494	503.9915312	301.8180442	232.1462003	1003.799101	479.4737512	965.9210447	444.473877	228.581424	500.5402822	956.0543909	191.3002706	371.4355521	1840.700671	548.4565713	833.9967554
eco_gcs1_t08492	17.74203566	103.3253431	144.5856914	14.03153978	29.42532012	13.01058864	8.796429748	100.1294508	19.2571072	11.29221849	69.0654947	95.30918471	12.69006669	16.34512449	19.71162107
eco_gcs1_t04416	104.4134554	193.332236	174.9838087	70.80165781	119.2678957	101.9475359	146.2112284	196.2791227	61.40075772	121.1069605	172.3012551	185.3696204	140.7845499	154.9160384	122.5131955
eco_gcs1_t09837	47.91001414	64.1331961	115.8638012	61.90226427	26.85468665	15.63061096	26.51823243	81.64337761	21.89271601	63.90173408	44.95547088	84.7186505	37.70751742	23.42471778	27.35498656
eco_gcs1_t03178	35.3913238	92.81095693	129.7814964	37.67709965	67.12810222	41.27924613	14.1974117	101.5440646	50.22605915	16.51058075	85.99777338	77.31929865	13.77912261	60.31423056	50.37002773
eco_gcs1_t02820	19.4298965	79.44234941	126.3578795	33.51770406	58.98043288	44.53562559	84.2330127	113.7970259	31.97911794	20.93718869	90.89196837	102.1024947	25.78087608	83.01411191	79.9689914
eco_gcs1_t00401	407.1802319	299.890795	324.7578616	593.202305	400.196439	593.4607486	546.8426307	346.3713989	661.4005715	555.3507139	294.8007221	265.9248809	319.3012608	275.477504	240.4312083
eco_gcs1_t02703	174.6595023	312.4413112	7.463248229	116.0156255	36.36692548	61.41433487	126.5711239	15.49435651	75.88165335	156.9537903	18.11673297	277.8614489	2714.561522	780.0250823	513.9858922
eco_gcs1_t07961	93.81709133	219.906442	260.4543429	96.72091247	210.1761382	97.34406819	196.3303672	322.1044578	54.68522531	99.80149678	246.7985779	295.59858	66.20172543	149.7984932	157.3066632
eco_gcs1_t08735	5760.093924	3898.371542	338.7781492	3161.762868	2143.901333	2582.276806	12840.24865	534.4857404	2403.400588	9816.108964	292.117205	3480.269643	57797.83089	10682.70418	17420.64704
eco_gcs1_t11985	90.59905921	222.5265638	245.5846561	98.50529732	181.0530218	78.68076704	178.7053529	273.5450861	19.70526944	122.2332323	416.7948833	224.9497332	89.4525603	226.0161586	191.4041792
eco_gcs1_t05644	2500.565799	1469.02313	574.9188282	798.6843332	482.6478001	4233.490441	282.739376	124.8910566	2904.386422	647.6734278	253.1830168	1125.074402	2934.856305	1627.916851	2512.8059
eco_gcs1_t08485	268.7496241	204.9783949	53.13878742	39.55787986	63.18422081	98.56768343	18.72128777	31.31060194	99.99668209	88.84309532	93.1148965	134.1419568	704.6473983	415.7434308	860.7342436
eco_gcs1_t11535	171.0023169	347.3916107	511.4119117	254.0583692	387.1960751	275.9270646	317.5014853	544.8210242	150.1425573	208.9340667	342.6702055	488.0756817	120.1199344	335.4094833	284.681745
eco_gcs1_t04731	25.61007735	77.23353345	34.59256043	16.30287154	15.6498194	14.94110248	21.3769526	95.87516464	21.56857452	10.43207934	113.673678	47.60996282	13.65118721	18.79950237	10.53716124
eco_gcs1_t11736	88.32272868	270.3045044	286.7081428	180.8292422	326.7546879	288.1143484	70.99275402	304.2839705	272.5687467	121.0000744	442.7575658	388.0729636	284.2994894	549.8617028	550.648059
eco_gcs1_t02974	8.333670362	1.962668762	1.57502202	15.45887438	3.853625648	11.01789033	10.02884937	1.552599986	27.17627055	78.19584764	2.3435325	1.534744473	14.82544808	2.936135171	3.229476142
eco_gcs1_t04596	61603.36509	6138.55869	3974.000544	61672.69367	13321.65191	32344.59724	32925.50538	2758.758483	32244.02597	45474.53582	4278.779443	9934.929313	64291.23621	13600.37221	25482.80381
eco_gcs1_t01218	66.57581675	121.0365186	144.8087257	58.87394068	91.79355647	61.11816168	126.6093407	184.5636717	86.81387652	60.91841444	88.34147025	153.3169233	46.59919094	69.03680413	65.60041574
eco_gcs1_t05687	10.72637815	6.440189102	13.29638949	14.9415833	10.09636741	9.053650849	7.432008725	13.46932085	18.82952578	10.87052468	5.410652784	10.00542816	10.46099339	11.5792758	7.696146209
eco_gcs1_t11611	643.2913122	145.0244963	107.9266939	220.0736199	139.8405616	186.6555779	223.597877	144.5341049	152.3998251	337.5016859	146.2164509	132.9985366	779.0864342	162.1835467	206.1901912
eco_gcs1_t09204	58.82174107	2.792862102	1.800201117	49.02743316	4.947730457	7.878493812	10.49226898	1.71116108	22.61922058	26.11155231	2.096465101	1.857278673	54.13684954	3.364280427	3.89941399
eco_gcs1_t03692	106.2603814	164.5366574	163.9444834	64.70678678	154.7756956	126.8929492	136.7460792	207.6712485	95.80602698	103.439144	148.9842292	220.2301837	193.1167089	235.1719259	214.3650845
eco_gcs1_t09968	1086.371025	1055.460251	452.9180242	1115.809862	849.5036575	1901.960657	702.3500292	396.2540601	1192.097565	1206.27609	536.6846276	1038.20745	3684.430037	2556.584021	3710.704006
eco_gcs1_t06092	91.44349197	82.33895508	119.5966003	54.32674916	49.86475725	49.17969144	105.1047933	138.7020164	46.1371373	280.284184	113.2921647	128.9673461	655.968866	177.2832379	299.4967809
eco_gcs1_t06575	1427.058465	739.4172353	625.5243843	1561.601655	1256.786933	1872.797258	828.514399	563.1048681	1028.664404	809.3700043	614.6934774	555.2170131	1107.800929	923.9231172	1058.852227
eco_gcs1_t03358	8676.332893	1235.98422	689.0903996	6650.4036	1709.276777	2425.592919	3730.425168	518.1371313	2920.423836	5567.587155	794.5789362	726.680987	3905.888911	1401.157003	1755.422141
eco_gcs1_t04562	4057.993	2111.918322	586.0288958	2390.848792	2827.912588	3054.992997	2758.504054	1153.453338	4888.750744	5126.732949	1898.107672	1083.559572	3837.433878	2828.196607	2970.756567
eco_gcs1_t07908	313.346348	472.1323169	479.4202898	645.852293	985.2876241	983.6269809	520.4439322	506.8472378	1113.210135	380.6751794	416.1857299	513.0249276	857.9470704	653.7173844	651.5165301
eco_gcs1_t00584	237.2943531	318.4421961	241.7635835	436.3605147	578.2330348	653.4217408	336.3076615	316.5801691	826.8095724	428.5563432	265.0277287	298.3853442	289.7571241	253.0653912	384.221925
eco_gcs1_t01988	81.20419647	169.6493909	174.9532875	87.61200055	156.8942428	90.51538117	137.1956783	242.3886851	104.8503058	50.76010217	123.4024432	222.872258	163.3904679	242.7018983	162.4407086
eco_gcs1_t07299	2284.310499	1097.005016	567.6118445	2583.993278	1314.080483	2261.212696	2154.536148	634.6850724	1304.643523	3417.955078	634.2374835	853.7172946	6324.549934	1633.866842	1974.751705
eco_gcs1_t02274	980.9384135	1805.626457	265.5486745	1116.204359	1417.433492	1429.255936	786.4012786	349.3180431	2321.458191	1444.73096	264.9268437	838.3582123	4921.2305	3765.487917	3452.386752
eco_gcs1_t11196	50.96469471	70.1640814	230.4317461	181.7955392	51.32900063	51.98056759	70.58068417	176.674517	34.89350376	208.5014732	233.5039782	205.8858088	132.7813664	64.82641519	74.75677969
eco_gcs1_t09133	12.77479537	4.565233486	5.369827451	28.30134532	5.863879739	10.72750663	10.70570411	4.786544318	19.56143399	52.75797583	7.013194008	6.405102019	28.02746457	5.731351842	6.576822973
eco_gcs1_t05507	1452.769337	423.8326413	160.6930515	1742.168537	667.7947006	1138.147762	996.8358224	114.1334814	801.0470224	1184.993309	214.5505625	323.1895537	2682.202539	816.7183864	1096.042258
eco_gcs1_t11794	82.18069736	261.0357767	299.6763238	94.06591124	242.5081468	131.1921363	89.3326713	332.1382717	230.4841864	75.67292536	389.3811873	285.555364	95.0439089	271.3829106	101.348044
eco_gcs1_t07245	175.6460472	267.2038122	318.586406	139.8556381	184.6960894	104.7088904	165.6951824	327.3315355	124.6757268	126.2426154	306.4448337	298.2015722	88.86382477	189.5134686	149.5250433
eco_gcs1_t10858	104.1514973	215.9890931	291.0290646	102.3609697	176.5987424	97.96071219	148.3566817	281.0379944	106.998279	84.95021174	235.0541825	274.4170368	162.8524248	253.8683418	234.2372831
eco_gcs1_t08685	3446.126165	704.3890766	321.1444861	1307.148708	1161.061838	1740.976549	600.9716214	233.0223269	1942.034107	730.803937	204.4381169	267.4369499	1209.527801	707.857345	818.8809527
eco_gcs1_t12121	119.1721812	271.1957612	368.9951319	210.8218846	207.2803844	185.5584058	211.7833653	394.0836449	156.7630715	243.310679	286.4774174	353.7303427	148.3365086	194.5407425	185.5258439
eco_gcs1_t02718	3581.788247	769.1927089	538.3188722	3893.627988	1777.971569	2411.282275	2090.339806	485.651197	3339.775381	3328.584664	724.5256872	328.7434087	1574.84164	630.5557303	766.4369561
eco_gcs1_t03261	51.39249647	33.86804243	21.02099895	37.55143936	39.61810312	42.96423734	20.64927279	74.64654824	21.99030969	21.49091494	69.53410647	62.38787808	29.83190151	19.00041124	40.82515275
eco_gcs1_t09821	34.11254642	94.50397493	133.839879	36.76311442	42.52958735	29.58327702	24.42456488	123.7577909	20.27467882	42.73238788	161.2179321	115.7235316	27.7454572	55.6246667	51.15923899
eco_gcs1_t08436	268.7037831	116.1676467	75.30444755	674.9245283	443.9518369	1007.45813	476.2993127	25.89278007	455.8657665	563.9473368	20.54760964	53.03654181	777.7044886	238.7812551	345.2282395
eco_gcs1_t04696	40.8318604	174.9567346	228.2471108	33.47034287	158.5056689	76.36371403	91.18103151	292.3626151	46.85151768	28.31791666	275.6347802	226.3113118	31.35879711	208.3238305	114.6798133
eco_gcs1_t03852	48.60111794	62.6967708	98.84764806	29.52497669	32.94709114	22.6820612	94.60651807	111.2816354	40.56562629	36.53361789	132.142221	149.632653	38.52607964	77.50893825	60.52881253
eco_gcs1_t00208	2109.961149	464.8483867	221.1187132	1322.077982	407.1642957	541.3855233	1022.912108	228.4585215	736.1978827	2437.063521	295.2552834	323.7150202	2451.610843	625.5092013	1232.878729
eco_gcs1_t06149	7.027545107	4.317282912	4.132037888	9.507923375	5.762382564	9.236055939	5.528951741	3.190095175	18.89019295	10.34789204	4.307906443	3.353564276	9.417339225	4.533169179	4.800511533
eco_gcs1_t06311	133.8999299	126.7688082	125.4371761	113.6154981	158.1055923	175.1558347	95.47915466	105.944755	140.9114605	108.4591428	286.7254668	107.2576533	109.4940589	141.9794993	117.0990429
eco_gcs1_t04849	38.26121995	49.32204827	62.95219941	45.95824192	28.02475496	30.38283251	62.2514022	69.45494406	30.1506209	23.64044644	98.35774143	79.04435805	25.02573378	37.42047914	40.89109876
eco_gcs1_t08128	33.12439166	135.3726008	75.12532568	31.23208486	51.19531322	55.42481761	12.98130515	126.7446036	23.50325402	19.40956496	124.0527724	102.08839	22.4866453	26.46015569	18.9778544
eco_gcs1_t06327	168.025943	95.05673536	83.08996821	263.2803442	328.6623541	901.4493855	157.914984	121.2595872	725.6469355	273.8465549	203.4957066	67.7911141	118.6340101	99.69664802	162.4838682
eco_gcs1_t09491	268.2337036	143.4463209	231.1773245	208.1776365	158.050113	132.6158297	161.8133059	268.8435657	148.2680701	158.8166105	152.5644315	216.102109	139.6051033	120.7356134	119.0521597
eco_gcs1_t03562	25.13932466	162.7932824	262.6717864	48.21771655	113.0414434	78.60967323	16.96619695	242.3720062	42.1985501	59.06598403	250.0803089	257.2178057	34.55601227	165.2393763	142.2757367
